,size,alpha,Run,half_time,percolation_system,segregation_coefficient,stopping_step,density,pop_weights,fixed_areas_pc,cluster_threshold,homophily,stopping_threshold,stats,server
100,150,0.9571428571428572,100,1.1830496389693108,True,0.5220160953360768,56,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
101,150,0.9571428571428572,101,1.3761513015219657,True,0.439668975308642,65,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
102,150,0.9571428571428572,102,1.4714751852537147,True,0.5256442235939643,50,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
103,150,0.9571428571428572,103,1.3176011461994617,True,0.5523616111111112,60,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
104,150,0.9571428571428572,104,1.3180630939255757,True,0.5140002633744856,69,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
105,150,0.9714285714285714,105,1.3667263056901588,True,0.5097019218106996,38,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
106,150,0.9714285714285714,106,1.8375218692671487,True,0.6367938957475995,74,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
107,150,0.9714285714285714,107,1.8789472478511082,True,0.47916434842249656,68,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
108,150,0.9714285714285714,108,1.7215845586308456,True,0.5140369650205762,55,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
109,150,0.9714285714285714,109,1.7040426726084157,True,0.5451333182441701,64,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
110,150,0.9857142857142858,110,2.585653599435111,True,0.501732401234568,54,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
111,150,0.9857142857142858,111,1.9306385488428925,True,0.5293797606310013,53,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
112,150,0.9857142857142858,112,2.3054487796578016,True,0.5866832311385459,65,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
113,150,0.9857142857142858,113,1.7218537280432606,True,0.48670052331961594,39,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
114,150,0.9857142857142858,114,1.3800096847713916,True,0.4879131975308642,42,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
115,150,1.0,115,3.317659603126189,True,0.527557207133059,58,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
116,150,1.0,116,3.9220785695767653,True,0.5044602126200275,48,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
117,150,1.0,117,3.88959149308222,True,0.5499383587105624,56,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
118,150,1.0,118,4.889057332891304,True,0.557206010973937,61,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
119,150,1.0,119,2.783407845723634,True,0.5344785541838134,57,0.97,"(0.6, 0.4)",0.0,4,5,5,True,False
