,alpha,density,Run,half_time,percolation_system,segregation_coefficient,stopping_step,total_avg_cluster_size,size,pop_weights,homophily,fixed_areas_pc,cluster_threshold,stopping_threshold,stats,server
153,0.97,0.85,153,1.8405228190395184,True,0.3895191111111111,18,92.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
154,0.97,0.85,154,1.0,True,0.609056,43,135.2,25,"(0.6, 0.4)",5,0.0,4,5,True,False
155,0.97,0.86,155,1.0,False,0.24424177777777778,18,54.964285714285715,25,"(0.6, 0.4)",5,0.0,4,5,True,False
156,0.97,0.86,156,1.1056684980300284,True,0.4779662222222222,22,83.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
157,0.97,0.86,157,1.498202130021133,True,0.502448,29,121.06666666666666,25,"(0.6, 0.4)",5,0.0,4,5,True,False
158,0.97,0.86,158,1.070441414547386,True,0.2582844444444444,21,72.91999999999999,25,"(0.6, 0.4)",5,0.0,4,5,True,False
159,0.97,0.86,159,1.449866770345673,True,0.3228417777777778,25,98.80000000000001,25,"(0.6, 0.4)",5,0.0,4,5,True,False
160,0.97,0.87,160,1.099451308769808,True,0.38270044444444445,21,61.129999999999995,25,"(0.6, 0.4)",5,0.0,4,5,True,False
161,0.97,0.87,161,1.0,True,0.5262515555555556,34,216.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
162,0.97,0.87,162,1.5564316213643687,False,0.3117253333333333,21,52.44,25,"(0.6, 0.4)",5,0.0,4,5,True,False
163,0.97,0.87,163,1.0,True,0.4346986666666667,25,77.93333333333334,25,"(0.6, 0.4)",5,0.0,4,5,True,False
164,0.97,0.87,164,1.0,True,0.49604355555555557,31,98.19999999999999,25,"(0.6, 0.4)",5,0.0,4,5,True,False
165,0.97,0.88,165,1.1653349972893372,True,0.5330817777777778,26,110.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
166,0.97,0.88,166,1.3014754416253898,True,0.44600711111111113,28,108.43333333333332,25,"(0.6, 0.4)",5,0.0,4,5,True,False
167,0.97,0.88,167,1.0,True,0.5183084444444445,27,80.56,25,"(0.6, 0.4)",5,0.0,4,5,True,False
168,0.97,0.88,168,1.6093239437143225,True,0.5990168888888888,27,225.66666666666669,25,"(0.6, 0.4)",5,0.0,4,5,True,False
169,0.97,0.88,169,1.0,True,0.5611031111111111,21,92.53333333333333,25,"(0.6, 0.4)",5,0.0,4,5,True,False
170,0.97,0.89,170,1.0,True,0.6339422222222222,29,233.39999999999998,25,"(0.6, 0.4)",5,0.0,4,5,True,False
171,0.97,0.89,171,1.406880254161681,True,0.5786622222222222,28,220.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
172,0.97,0.89,172,1.0,True,0.5677777777777777,22,91.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
173,0.97,0.89,173,1.43017309054223,True,0.5710577777777778,38,183.89999999999998,25,"(0.6, 0.4)",5,0.0,4,5,True,False
174,0.97,0.89,174,1.0,True,0.5396417777777778,21,148.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
175,0.97,0.9,175,1.0,True,0.5141342222222223,18,225.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
